# ID | Name(s), tags, RA(J2000), dec(J2000)
,         radec, 000000.0,  000000.0
3C84,     radec, 031948.2, +413042.1
3C123,    radec, 043704.2, +294015.1
0521M365, radec, 052258.0, -362730.9
TAURUSA,  radec, 053431.94, +220052.2
ORIONA,   radec, 053516.0, -052322.0
3C147,    radec, 054236.1, +495107.2
0552P398, radec, 055530.8, +394849.0
3C161,    radec, 062710.1, -055304.8
OJ287,    radec, 085448.9, +200631.0
3C218,    radec, 091805.7, -120544.0
4c39d25,  radec, 092703.0, +390221.0
3C273B,   radec, 122906.7, +020308.6
VIRGOA,   radec, 123049.4, +122328.0
3C279,    radec, 125611.2, -054721.5
3C286,    radec, 133108.3, +303033.0
3C295,    radec, 141120.7, +521209.1
3C345,    radec, 164258.8, +394837.0
3C348,    radec, 165108.2, +045933.0
3C353,    radec, 172028.2, -005848.0
3C380,    radec, 182931.7, +484447.0
3C391,    radec, 184923.4, -005529.0
1921M293, radec, 192451.1, -291430.1
CYGNUSA,  radec, 195928.4, +404402.0
2134P004, radec, 213638.6, +004154.2
3C454D3,  radec, 225357.8, +160853.6
CASA,     radec, 232324.8, +584859.0
SUN,      radec, 000000, +000000
MOON,      radec, 000000, +000000
